0,140
30,140
60,140
90,140
120,72
150,68
180,64
210,56
240,52
270,48
300,44
330,40
360,36
390,36
420,32
450,28
480,28
510,28
540,24
570,20
600,20
630,20
660,16
690,16
720,16
750,16
780,16
810,12
840,12
870,12
900,12
930,12
960,12
990,12
1020,12
1050,12
1080,12
1110,12
1140,12
1170,16
1200,16
1230,16
1260,16
1290,20
1320,20
1350,24
1380,24
1410,24
1440,28
1470,32
1500,36
1530,40
1560,44
1590,48
1620,52
1650,60
1680,72
1710,76
1740,84
1770,88
1800,96
1830,96
1860,100
1890,104
1920,108
1950,112
1980,116
2010,116
2040,120
2070,120
2100,124
2130,116
2160,116
2190,108
2220,104
2250,104
2280,100
2310,100
2340,96
2370,96
2400,96
2430,96
2460,104
2490,104
2520,104
2550,104
2580,108
2610,108
2640,108
2670,108
2700,112
2730,116
2760,112
2790,112
2820,116
2850,116
2880,120
2910,120
2940,124
2970,124
3000,128
3030,132
3060,132
3090,132
3120,128
3150,124
3180,124
3210,120
3240,120
3270,120
3300,112
3330,112
3360,104
3390,104
3420,104
3450,100
3480,100
3510,100
3540,100
3570,100
3600,104
3630,108
3660,108
3690,116
3720,116
3750,120
3780,120
3810,124
3840,124
3870,128
3900,128
3930,128
3960,128
3990,132
4020,128
4050,128
4080,128
4110,124
4140,120
4170,112
4200,104
4230,100
4260,92
4290,88
4320,80
4350,72
4380,68
4410,64
4440,56
4470,0
4500,0
