interval,count
150,1
300,1
450,2
600,2
750,2
900,2
1050,4
1200,3
1350,2
1500,1
1650,1
1800,3
1950,6
2100,1
2250,1
2400,0
2550,1
2700,0
2850,1
3000,1
3150,2
3300,7
3450,6
3600,6
3750,4
3900,4
4050,5
4200,3
4350,4
4500,2
4650,6
4800,5
4950,4
5100,3
5250,3
5400,3
5550,3
5700,3
5850,5
6000,4
6150,3
6300,3
6450,3
