50,200
90,104
130,102
170,103
210,105
250,97
290,93
330,90
370,86
410,74
450,66
490,60
530,50
570,34
610,33
650,35
690,49
730,62
770,68
810,80
850,94
890,94
930,94
970,90
1010,83
1050,83
1090,84
1130,84
1170,92
1210,84
1250,86
1290,84
1330,80
1370,69
1410,59
1450,48
1490,37
1530,30
1570,26
1610,26
1650,36
1690,74
1730,122
1770,147
1810,147
1850,137
1890,136
1930,133
1970,117
2010,114
2050,115
2090,109
2130,103
2170,97
2210,100
2250,91
2290,83
2330,74
2370,67
2410,57
2450,42
2490,37
2530,32
2570,34
2610,46
2650,94
2690,156
2730,182
2770,194
2810,186
2850,168
2890,146
2930,134
2970,130
3010,134
3050,134
3090,125
3130,118
3170,114
3210,102
3250,90
3290,82
3330,71
3370,59
3410,45
3450,36
3490,34
3530,35
3570,44
3610,89
3650,146
3690,166
3730,171
3770,170
3810,154
3850,146
3890,132
3930,126
3970,121
4010,120
4050,114
4090,106
4130,103
4170,98
4210,78
4250,71
4290,58
4330,49
4370,41
4410,34
4450,34
4490,35
4530,43
4570,83
4610,127
4650,150
4690,146
4730,146
4770,138
4810,130
4850,114
4890,113
4930,110
4970,114
5010,113
5050,111
5090,106
5130,100
5170,102
5210,78
5250,67
5290,56
5330,46
5370,38
5410,36
5450,35
5490,42
5530,73
5570,109
5610,137
5650,150
5690,147
5730,141
5770,130
5810,112
5850,107
5890,105
5930,102
5970,101
6010,94
6050,98
6090,87
6130,82
6170,72
6210,66
6250,63
6290,49
6330,38
6370,34
6410,37
6450,42
6490,53
6530,73
6570,92
6610,107
6650,107
6690,106
6730,104
6770,105
6810,104
6850,96
6890,102
6930,106
6970,106
7010,98
7050,100
7090,93
7130,78
7170,69
7210,57
7250,42
7290,0
