200,42.25,14.013,15.351,15.058,16.692,36.273,0.0235,3.4389,0.0017452,13.725,0.092033,30.233,0.6342,28.4,0,21.018,0,0.143
200,39.65,13.027,14.029,13.739,15.774,34.727,0.1465,3.4936,0.0017502,15.606,0.024428,28.944,0.62702,17.005,0,21.125,0,0.098
36,43.05,15.194,14.389,15.593,18.555,37.113,0.0165,3.7421,0.0017562,15.151,0.043669,30.933,0.62436,27.698,0,21.321,0,0.12
36,41.75,13.387,14.635,14.279,18.139,37.62,0.043,3.6105,0.0017555,17.385,0.036852,31.361,0.53563,14.023,0,21.322,0,0.135
36,40.8,12.799,12.268,13.529,16.996,33.313,0.0225,3.2466,0.0017575,14.178,0.011383,27.767,0.61031,31.968,0,21.378,0,0.15
34,40.5,12.398,13.008,13.458,17.891,32.74,0.0345,3.613,0.0017575,13.013,0.036993,27.289,0.62307,15.295,0,21.382,0,0.118
34,43.25,14.011,13.985,14.199,18.116,36.04,0.059,2.9158,0.0017579,16.148,0.020964,30.039,0.41164,12.635,0,21.385,0,0.123
34,40.35,12.47,13.328,13.098,16.625,33.347,0.005,3.4635,0.0017571,15.348,0.11138,27.789,0.50796,18.035,0,21.392,0,0.105
34,47.5,19.259,23.639,21.024,22.401,38.74,6.2445,4.4716,0.0017591,50.087,0.19409,32.278,0.57736,31.455,8.3333e-05,21.394,0.001,0.11
34,42.3,25.053,20.677,34.713,38.32,57.72,0.132,8.4703,0.0020503,18.625,0.087533,48.1,1.8029,30.12,0,21.395,0,0.125
38,35.95,19.244,16.397,21.663,31.088,38.593,0.03,9.0082,0.0024631,15.699,0.016751,32.15,1.2145,23.625,1.64,21.405,19.68,0.125
38,38.65,20.172,14.73,21.493,30.295,38.327,11.631,8.3013,0.0026085,18.361,0.078332,31.939,0.85178,33.475,8.3333e-05,21.428,0.001,0.113
38,40.45,21.245,15.332,23.429,29.419,42.193,0.0335,8.6241,0.0026087,19.899,0.064348,35.161,0.88141,18.703,8.3333e-05,21.419,0.001,0.13
46,45.15,25.628,16.042,26.787,33.596,47.813,0.0705,7.7542,0.0026083,23.304,0.066006,39.822,0.55845,51.945,8.3333e-05,21.423,0.001,0.15
46,41.35,22.802,14.972,24.626,31.469,46.727,0.132,9.3058,0.002608,20.037,0.053901,38.939,0.90146,30.188,0,21.439,0,0.125
56,50.5,23.97,18.428,26.039,33.87,51.327,0.069,6.8864,0.0026078,23.532,0.056062,42.772,0.53441,43.778,0.00016667,21.458,0.002,0.135
56,46.15,28.873,17.443,30.394,34.395,53.12,0.037,9.492,0.0026071,29.798,0.047805,44.261,1.0821,38.297,8.3333e-05,21.455,0.001,0.13
56,47.95,33.605,19.688,35.087,39.832,55.913,0.0305,10.087,0.0026073,32.565,0.049793,46.6,1.0935,46.413,8.3333e-05,21.461,0.001,0.15
69,46.2,28.123,19.495,29.52,36.708,55.133,0.052,8.7975,0.0026071,34.279,0.070644,45.939,0.86031,59.535,0.00016667,21.471,0.002,0.15
69,46.95,32.934,22.239,33.762,41.232,56.187,0.0765,10.158,0.0026184,37.319,0.080286,46.861,1.0964,72.06,8.3333e-05,21.793,0.001,0.183
