time,Y,Ym,Yl,Yu,U,Um,Ul,Uu,Mode,Control
0,0.5336995805580438,1.474,0.0,1.3414395401291914,46.885282433580414,58.73,24.274768226811062,69.495796640349766,y,3
1,0.173270696287358,0.064,0.043475938078351012,0.30306545449636502,37.526971667927114,53.667,15.512120701676082,59.541822634178146,g,6
2,0.3788896758326332,0.055,0.0,1.2443769889107328,24.663146509463218,49.803,2.6676946119475389,46.658598406978896,y,6
3,0.29166033073126507,0.061,0.0,1.1223547585525817,26.770057266413005,52.796,4.3052169763673405,49.234897556458669,y,8
4,0.2337743518573685,0.057,0.0,1.0001492090425717,34.46923604462404,51.47,11.799400548047146,57.139071541200934,y,8
5,0.1929864820476852,0.051,0.0,0.86863607769515194,64.99864739526902,52.332,42.3241486917277,87.673146098810335,y,9
6,0.13657180939971147,0.05,0.0,0.8248182014186396,54.12470933510403,50.6,31.307367943188655,76.942050727019407,y,9
7,0.11105774490849118,0.048,0.0,0.79173266742117365,53.93329391941535,51.533,31.192555483514568,76.674032355316129,y,9
8,0.09697710176766935,0.052,0.0,0.77269542971409089,62.82793409514386,53.533,40.077165270879732,85.578702919407988,y,9
9,0.037907002105864396,0.049,0.0,0.72953209172705669,42.4569840431591,50.4,19.798659031500137,65.11530905481807,y,7
10,0.11330216257133102,0.053,0.0,0.78524922608507208,42.261700919820726,51.467,19.559739488901844,64.963662350739611,y,7
11,0.12936792541249376,0.052,0.0,0.79406113344531548,42.93705197394456,49.467,20.225244212533976,65.648859735355146,y,8
12,0.08807095336194787,0.055,0.0,0.7481114437169305,43.10078343693996,46.334,20.53317133431052,65.668395539569403,y,8
13,0.0730208977592344,0.05,0.0,0.72163178735829392,49.98340660169589,50.333,27.389828850058578,72.576984353333202,y,7
14,0.04019880001246458,0.051,0.0,0.69315068956032588,44.822504320601354,43.133,22.200733917096532,67.44427472410618,y,7
15,0.14485616300146992,0.054,0.017277679189881157,0.27243464681305868,42.770741553924495,43.667,20.189467459147586,65.352015648701411,g,8
16,0.14109242299489316,0.051,0.01322457593066112,0.26896027005912521,41.670457964196544,43.734,19.090135496789106,64.250780431603985,g,8
17,0.0322998118528145,0.051,0.0,0.68589121512371209,41.6651963399233,44.333,19.219549789082475,64.110842890764118,y,6
18,0.14344040891372625,0.049,0.0,0.79303750935453088,41.66784599728558,44.266,19.218725036447943,64.116966958123214,y,6
19,0.05354044558888821,0.048,0.0,0.69751496386346168,41.276837160044366,43.73,18.830373540737749,63.723300779350978,y,4
